M01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01
M01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01
M01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01
M01|01|01|01|01|02|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01
M01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|00
M01|01|01|01|01|01|01|01|01|01|01|01|02|01|01|01|01|01|01|01|01|01
M01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01
M01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|00|01|01|01|01|01|01
M01|01|01|01|01|01|01|01|00|01|01|01|01|01|01|01|01|01|01|01|01|01
M01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01
M01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01
M01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01|01
